"Notes","Author","Manual.Tags"
"<p>Announces the first known journal issue in any discipline consisting exclusively of RRRs (15 in total)</p> <p>By reviewing and accepting preregistered proposals prior to data collection, Registered Reports are an efficient way to change incentive structures for conducting replications and reporting results irrespective of their statistical significance.</p> <p>We received 36 pre-proposals of which 24 were encouraged to submit full proposals. Ultimately 14 proposals were accepted. A 15th article (Moon &amp; Roeder, 2014) was solicited as a second replication of one of the peer reviewed, accepted proposal</p> <p>Peer review prior to data collection lowered the barrier to conduct replications because authors received editorial feedback about publication likelihood before much of the work was done. Furthermore, authors could focus on reporting a confirmatory analysis without the need to hunt for positive and clean results</p> <p>RRs shift the incentives for reviewers. When reviewing stage 1 RR only the design is available as a basis for critique. Reviewersâ€™ motivation is to make sure that the design provides a fair test. Reviewers could insist that there are innumerable conditions and moderating influences that must be met. However, each of these constrains the scope of the original effect and risks trivializing the result. So, reviewers may have competing interests â€“ just as they do in theorizing â€“ providing just enough constraint to ensure a fair test, but not so much to make the effect uninteresting or inapplicable. In sum, review prior to data collection focused researchers and reviewers to evaluate the methodological quality of the research, rather than the results. (avoids CARKing)</p> <p>Preregistration and peer review in advance of data collection or analysis do not lead to definitive results. Type 1 &amp; 2 errors still possible. </p> <p>Registered Reports do not prevent or discourage exploratory analysis. Rather, they make clear the distinction between confirmatory and exploratory analysis.</p> <p>Â RRs nudges incentives for research accuracy to be more aligned with research success. As a result, the model may increase the credibility of the published result</p>","Nosek, Brian A.; Lakens, Daniel","bias; science; standards; include; warmth; metaanalysis; note; ambady; pittinsky; replication attempt; stereotype susceptibility shih"
"<p>RRs are particularly suitable for hypothesis-driven studies and high-impact replications. They eliminate the need for, and possibility of, engaging in many QRPS, because publication becomes fundamentally decoupled from the study outcome</p> <p>Given that this is a new publication format, it is possible that unforeseen issues may arise in the early phases of its implementation; it is thus conceivable that details of the Guidelines will change during the initial phase of the implementation. </p> <p>Registered Reports are prospected to contain high-impact empirical, hypothesis-driven studies, revered for the trustworthiness of the conclusions drawn</p> <p>culture of publication associated with Registered Reports will have some relatively minor effects on the regular review process. Authors will be required to announce which analyses are exploratory and which are hypothesis-driven; exploratory studies may not be presented as hypothesis-driven.Â </p> <p>RRs are not meant to replace exploratory studies, which play an important role in the scientific process, as long as authors are honest about their intentions</p>","Dessing, Joost C.; Beek, Peter J.","include; note"
"<p>RRs ""neutralises bad incentives, permitting the publication of null results and encouraging replication attempts""</p> <p>""Not all modes of scientific investigation will be compatible""</p> <p>""for most types of studies, Registered Reports will not outlaw serendipity or hinder legitimate scientific flexibility""</p> <p>Â </p> <p>RRs ""will be immune to publication bias because the decision to accept or reject manuscripts will be based on the significance of the research question and validity of the methods, never on whether results are novel or statistically significant. Second, by requiring authors to adhere to a preapproved methodology and analysis pipeline, it will instantly prevent a host of questionable but common practices that promote false discoveries, including p value fishing, creative outlier exclusion, and selective reporting of analyses. Third, by requiring an a priori power analysis false negatives will be greatly reduced compared with standard empirical reports""</p> <p>""We believe these criteria will help to give Registered Reports the highest â€˜truth valueâ€™ of any available scientific publication""</p> <p>""will be especially suitable for much-needed replication studies.""</p>","Chambers, Christopher D.","incentives; include; truth; prevalence; note"
"<p>Announces launch of ""Registered Reports and Replications"" research reports by *Attention, Perception &amp; Psychophysics*</p> <p>Explains RR process: eligibility, submission checklist &amp; guidelines + peer-review criteria</p> <p>Why RRs: increase replications + decrease publication bias</p>","Anonymous","psychology; include; note; failure"
"<p>Registered report</p> <p>The fact that this research was pre-registered played a positive role in the development of our experiment and it did not constrain our curiosity for exploring the data. Working together with reviewers in an early stage maximizes chances of making a valuable contribution to current debates. In addition, this process and its open access character carry on the momentum, enabling researchers to continuously build on ongoing work. We hope to have inspired future investigations of the interaction between physiology and cognition, and the possible influences of this interaction for social relationships.</p> <p>Acknowledgments</p> <p>We like to thank the editors for supporting the option for pre-registration and we would like to acknowledge that this work was for a great part made possible by the valuable comments and suggestions that the reviewers made on the proposed experiment</p>","van't Veer, Anna E.; Gallucci, Marcello; Stel, Marielle; van Beest, Ilja","include; cold; deception detection; interpersonal relations; physiological markers; accuracy; note; beliefs; indirect   deception detection; multilevel models; psychophysiology; skin temperature"
"<p>If acceptance-in-principle is offered, then the authors can conduct their study safe in the knowledge that, as long as they adhere to their plans, their results will eventually be published.</p> <p>RRs (deciding whether or not to publish the results of a study before the results are known) offers several important advantages. First, it ensures that publication depends on the importance of the research question being addressed, and the appropriateness of the methods chosen, rather than novelty and P-values. Secondly, it minimizes research practices that inflate the likelihood of false positives (e.g. â€˜significance chasingâ€™), given the requirement to adhere to pre-declared methods. Thirdly, the requirement for a priori power calculation to justify the sample size minimizes problems of low statistical power</p> <p>The success of RR publishing model remains to be seen, but in principle it could prove a welcome step forward in scientific publishing</p>","Ware, Jennifer J.; Munafo, Marcus R.","reproducibility; bias; publication bias; incentives; reliability; science; statistical power; fraud; False positive; include; registered-reports; impact; pre-registration; note; false; genetic association; persistence; significance chasing"
"<p>RRs for planned confirmatory studies, would create a positive incentive for preregistration that would minimize file-drawer bias and avoid the mandates and constraints to which some scholars object</p> <p>RRs are most useful for surveys and experiments, butÂ  could include other types of observational data. The problem, however, is that preacceptance of observational studies would require editors to trust authorsâ€™ self-reports that the data had not been collected or analyzed previouslyâ€”which creates an incentive problem of the type that preacceptance is intended to alleviate.8 An alternate approach would be to encourage authors of observational studies to submit articles that offer out-of-sample predictions</p> <p>few authors could still use a preaccepted article format. To address this concern, the American Political Science Review (APSR) and other political science journals should consider offering incentives for authors to use the format by publishing preaccepted submissions as lead articles in each issue andâ€”to the extent possibleâ€”fast-tracking them in the editorial and peer-review process. It may be possible to raise funds to offer authors whose designs are accepted in this format, as currently done by Perspectives on Psychological Science (n.d.), or for the APSR to partner with Time-Sharing Experiments in the Social Sciences (TESS) to preaccept articles that then would be fielded for free as part of a TESS omnibus survey.</p> <p>RRs could benefit research and publishing practices in the whole discipline. it would pressure authors, editors, and reviewers to (1) identify hypotheses that are substantively important and developed carefully in relation to the previous literature; (2) answer research questions for which results would be worth publishing even if they are not surprising or counterintuitive; (3) keep articles short given the likelihood of null or mixed results; and (4) ensure that studies have sufficient statistical power to detect the hypothesized effect most of the time. In this way, the format could have positive spillover effects even if it is used infrequently</p>","Nyhan, Brendan","replication; publication bias; transparency; include; registered-reports; note; gender; medicaid"
"<p>""publication of the [registered] Replication Study is not contingent on the results. This places the incentives for the replication team and the reviewers on maximizing the quality of methodology and minimizes incentives for achieving a specific result.""</p>","Errington, Timothy M.; Iorns, Elizabeth; Gunn, William; Tan, Fraser Elisabeth; Lomax, Joelle; Nosek, Brian A.","replication; science; neuroscience; publication; include; psychological-research; consequences; prevention; note; false; again; availability"
"<p>In RRs researchers may obtain detailed feedback on their study design, methods, and analysis plans.</p> <p>RRs protect against the implicit pressure to â€˜â€˜findâ€™â€™ interesting results because the acceptance-in-principle offered after the first stage review guarantees eventual publication as long as the authors adhere to the original study protocol.</p>","Attwood, Angela S.; Munafo, Marcus R.","include; registered-reports; note"
"<p>need translation</p>","Geukes, Katharina; Schoenbrodt, Felix D.; Utesch, Till; Geukes, Sebastian; Back, Mitja D.","replicability; preregistration; replication; incentives; open science; research practices; include; recommendations; registered-reports; truth; psychological-research; exercise; note; special section; crisis of confidence; sport"
"<p>Table 1: RRs address sources of bias, specifically: Methodological flexibility/p-hacking, data peeking, HARKing, outcome reporting bias, publication bias &amp; flawed peer review</p> <p>Because review and conditional acceptance take place before a study is conducted in RRs, (a) reviewers are not aware of (and hence not influenced by) direction or magnitude of effects and (b) the incentive for researchers to engage in questionable research practices to achieve statistical significance is eliminated. Indeed, not adhering to oneâ€™s research plan is the only way not to have a preaccepted study published</p> <p>Roche et al. (2014) suggested that the foremost concern of researchers with publishing reforms such as open data, preregistration, and registered reports is the possibility of getting â€œscoopedâ€ (see Gewin, 2016; Peters et al., 2012; Van Noorden, 2014) by losing priority access to oneâ€™s own data. That is, once data, materials, or study plans are posted publicly, future use of those data and plans are as open to others as to the researcher whoÂ  actually conceptualized the study and collected the data. Additional concerns include, but are not limited to, ethical considerations related to the confidentiality and privacy of participants in open data (Wicherts &amp; Bakker, 2012), implications for institutional review board training and vetting processes of making data sets publically available (potentially shifting risk), adherence to preregistered plans stifling exploration and discovery (though preregistration does not disallow exploratory research; it just requires that it not be presented as confirmatory research; Miguel et al., 2014; Moore, in press), and postpublication review degenerating into trading anonymous and caustic jabs (Knoepfler, 2015). Most broadly, the risk:reward ratio and potential impact of these and other proposed journal reforms is largely unknown at this point.</p>","Cook, Bryan G.","psychology; replication; publication bias; credibility; file drawer; registered reports; include; social-sciences; note; randomized controlled-trials; post; science research"
"<p>RRs enshrines the philosophy that hypothesisâ€driven science should be judged by the importance of the research question and the robustness of the method, and never based on the outcome of hypothesis testing.</p> <p>RRs initiative offers benefits for science: (1 prevents publication bias because the results are not known during initial peer review. (2) Registering hypotheses in advance stops authors presenting a hypothesis derived from the data as though it was a priori [9]. (3) It prevents p-hacking by requiring authors to preâ€specify,in detail, their protocols for terminating data collection and analysing data. (4) boosts the reproducibility ofall findings, whether positive or negative, by setting high standards for prospective statistical power. (5) increases transparency by requiring data deposition in a public archive following study completion. (6) safeguards the publication of serendipitous findingsby ensuring that editors cannot reject papers based on the outcome of hypothesis tests. (7) It incentivizes replications by provisionally accepting them before authors invest resources required to repeat previous experiments. (8) It enables editors and specialist reviewers to help improve proposed methods before they are implemented. (9) It explicitly welcomes exploratory (unregistered) data analysis while also clearly distinguishing the outcomes of exploration from preâ€registered hypothesis testing. Finally, (10) it fulfils an important pedagogical role in reinforcing the value of precise a priori predictions and valid statistical practices.</p> <p>RRs forÂ  existing data: consider existing data sets as split-half â€˜discoveryâ€™ and â€˜replicationâ€™ samples.</p> <p>Concerned editors to RRs cite risks to the journal's impact factor, perceived threats to exploratory research or the technical challenges in coordinating peer review.</p>","Chambers, Christopher D.","reproducibility; publication bias; incentives; False positives; questionable research practices; registered reports; include; registered-reports; truth; note; study pre-registration"
"<p>At the center of our onion model would be a process that can make use of all previous layers, while adding an additional layer of transparency in that it allows reviewers unprecedented access to an authorâ€™s early stages of research planning. Preregistered reports [not peer reviewed &amp; peer reviewed]</p> <p>Â </p> <p>journal-directed, multistage, peer-reviewed preregistered reports...usually involves perhaps the most rigorous peer-reviewed scientific method.A 2017 special issue of Journal of Media Psychology used such a two-stage review process and included manuscripts, stimulus materials, data, codebooks, and even author-reviewer-editor correspondence for public viewing in a common OSF space (https://osf.io/5cvkr/). Notably, Communication Research Reports currently accepts stage one preregistered reports as one of five submission types to the journal but does not have a requirement for authors to make their stage one materials publicly available. Such an approach has been critiqued as a weakness of the preregistration process (Hardwicke &amp; Ioannidis, in press), as without publicly sharing stage one materials, readers are unable to assure that the published manuscripts strictly adhered to the accepted stage one protocols. For this reason, CRR would strongly recommend authors submitting preregistered reports to consider sharing materials online in coordination with CRR editors.</p> <p>Â </p> <p>With exception of stage one preregistered reports (which require authors to submit preliminary documents that might not be part of their standard research process), peeling back at least some of the layers around research requires a nominal amount of additional effort on behalf of currently practicing researchers</p> <p>Â </p> <p>The two-step review process requires additional academic labor, in particular on the behalf of reviewers, and some argue that simply engaging in additional rounds of peer review does little to correct existing critiques of peer review processes (Dâ€™Andrea &amp; Oâ€™Dwyer, 2017). Others debate the impact (pro and con) of preregistration practices on scientific creativity, as was the focus of a recent issue of Perspectives on Psychological Science (Volume 13, Number 4, online at http://journals.sagepub.com/toc/ppsa/13/4). Conversely, the additional quality checks might save valuable time and resources in the long run, as stage one review processes can help catch and correct errors early in the research process that often cannot be corrected once data has been collected.</p>","Bowman, Nicholas David; Keene, Justin Robert","Transparency; Open Science; include; note; Preregistered Reports; Research Ethics"
"<p>the use of preregistration and especially registered reports may reduce the informational yield of direct replication as research practices evolve (but we doubt that such practices will ever eliminate the need for direct replications).</p> <p>Â </p> <p>the use of registered replication reports furthermore assuages the concern that only negative replications are incentivized. These reports are provisionally accepted for publication before any data are collected, and thus, any bias for or against successful replications is eliminated.</p> <p>Â </p> <p>Although the rules of replication should allow replicators to add checks on methods, such checks should also be a part of original research. Specifically, by adopting the Registered Report publication format (Chambers et al. 2015), evaluation of methods precedes data collection, so that planning to interpret negative results is essential.</p> <p>Â </p> <p>In combination with the registered reports format (Chambers 2013), we believe a replication-first rule would minimize Ph.D. candidatesâ€™ stress caused by the anticipation of negative results and increase the quality of their work.</p> <p>Â </p> <p>Researchers are preregistering hypotheses and journals are pre-accepting registered reports, making conclusions more credible.</p> <p>Â </p> <p>Tools such as registered reports can help reduce publication bias</p>","Zwaan, Rolf A.; Etz, Alexander; Lucas, Richard E.; Donnellan, M. Brent","replicability; reproducibility; replication; publication bias; psychological research; include; registered-reports; tests; note; psychological science; ego-depletion; improving written communication; multilab preregistered replication; research programs; statistical   significance; traveling-waves"
"<p>registered conference abstracts</p>","Tibon, Roni; Henson, Richard","include; registered-reports; note"
"<p>Unfortunately, the RRR section has not yet drawn many submissions, perhaps because the field needs some time to adjust to the new research climate. Nevertheless, the RRR section demonstrates the commitment of Cognition &amp; Emotion to the goals of testing and improving the reproducibility of emotion research.</p> <p>Â </p> <p>We want to further promote the use of pre-registration as a tool for confirmatory research and our aim is to make it more flexible and broader than it was before. For this purpose, we have changed the RRR section into a Registered Reports (RR) section, that is, authors can submit any form of research to the RR section, including close replications and conceptual replications, but also studies addressing new research questions or advancing new manipulations and paradigms. All of these forms of research are acceptable, as long as they adhere to the basic ground rules for pre-registered research. The RR section is thus no longer restricted to registered replication studies.</p>","Rothermund, Klaus; Koole, Sander L.","psychology; disorders; include; psychopathology; memory; perspectives; note; anxiety; affective processing biases; appraisal; basic emotions; cognition and emotion; cognitive theories of emotion; emotion regulation; Historical review; life; registered replication report; special-issue"
"<p>systemic reform efforts such as study preregistration6,7 and registered reports8,9 aim to realign research incentives so as to prevent selective publication and outcome reporting.However, until such practices are more widely and rigorously adopted, therewill remain a need to examine potential outcome reporting biases during the analysis phase of most research synthesis projects</p>","Pustejovskyei, James E.; Rodgers, Melissa A.","meta-analysis; publication bias; include; registered-reports; metaanalysis; self-control; note; detect publication bias; estimating effect   size; meta-regression; outcome reporting bias; robust variance-estimation; standardized   mean difference"
"<p>""independent on whether results are negative or positive, thus eliminating potential bias against negative results. It is another step toward reducing Questionable Research Practices (QRP), including â€˜low statistical power, selective reporting of results and publication bias, while allowing complete flexibility to report serendipitous findingsâ€™</p>","Olff, Miranda","registered reports; impact factor; Altmetrics; include; note; Open Access; Psychotrauma; ptsd; special   issues"
"<p>Table 1 - Problem: Publication bias favoring sensational and/or statistically significant findings over important questions. Solution: Registered reports. Benefits: Helps researchers avoid pitfalls before data are collected; refocuses research on importance of method and the questions asked</p> <p>in RRs the publication decision is decoupled from the findings, removing all incentives for researchers to engage in QRPs.</p> <p>Â </p> <p>unforeseen difficulties in data collection could complicate final acceptance and, like all manuscripts, would have to be dealt with on a case-by-case basis. For example, if only a third of the planned number of participants were included, this could be reasonable grounds for not publishing the final manuscript.</p> <p>Â </p> <p>In addition to improving the quality and trustworthiness of the scientific literature, we believe that embracing the registered reports format will confer benefits on researchers as well. In the current peer-review process, which evaluates completed projects, it is often the case that reviewers identify major shortcomings in a studyâ€™s design or instrumentation that allow for alternative explanations of the findings. By this point it is too late to alter the flawed design because the data already have been collected. In some cases, this leads to the study being rejected for publication altogether, in which case the authors have wasted considerable time, resources, and effort. Research subjects also may have been exposed to potentially harmful (or at least nonbeneficial) interventions for nothing. In other cases, authors, having been rejected by a â€œflagshipâ€ journal, will resubmit the paper to a different journal that is perceived to be less selective. The paper is once more sent out for peer review, encumbering another panel of reviewers and their expertise, thus creating more work for all involved, including reviewers and editors. If the paper is eventually deemed to be publishable, it is certain that the authors will need to add extensive discussion of the studyâ€™s flaws to the â€œLimitationsâ€ section of the manuscript. The paper ends up contributing less value to the literature than the authors had hoped because, in the final analysis, the evidence for the studyâ€™s central claims is weak. By addressing these potential issues up front, we believe that the registered reports format offers a more humane process for researchers and reviewers. Peer review of the studyâ€™s methodology occurs at a point in the process when changes can actually be made, not after it is too late. The specific editors and reviewers working on a registered report may shoulder a larger burden of the work, but this work is concentrated only on those individualsâ€”not the other sets of potential reviewers who will be encumbered as the article is â€œshopped aroundâ€ to different journals. The adoption of registered reports will help avoid putting reviewers and editors in the difficult position of telling their colleagues that a study is doomed and that effort was wasted. Through registered reports, reviewers also avoid being placed in the unenviable position of second-guessing a studyâ€™s purported claims (e.g., â€œthereâ€™s no way that effect size can be so large!â€) due to unprovable suspicions about the use of QRPs. At the time of this writing (November, 2017), 80 journals (for an updated list, see https://cos.io/ rr/#journalsâ€”Gifted Child Quarterly was the 71st!) are now accepting registered report submissions, and the list is growing on a weekly basis. We hope that all the gifted education journals will soon appear on this list.</p> <p>Â </p> <p>Here are several simple steps that journals can take to move toward more open practices: Allow authors to submit research for review before the results are known via the registered reports format. Very little of the review process would need to change to do this. Reviewers would not be influenced by whether or not the findings were supportive of a particular agenda, or by whether they were statistically significant. Moreover, authors would get feedback on their method and analysis plans at a time when they can ethically alter these plans</p>","McBee, Matthew T.; Makel, Matthew C.; Peters, Scott J.; Matthews, Michael S.","reproducibility; HARKing; preregistration; replication; replication crisis; p-hacking; publication bias; open materials; open data; registered reports; citations; questionable research practices (QRPs); registered report; include; note; file   drawer; open   science; psychological-science"
"<p>A mechanism that aims to address these problems[?], as well as to increase the amount and quality of replication, is the article type referred to as Registered Reports (see Marsden et al., 2018).</p> <p>Â </p> <p>in-principle acceptance incentivizes researchers to undertake a replication by reassuring them with a pledge of publication prior to investing in the data collection.</p> <p>It is unsurprising, therefore, that to date Registered Reports include a high proportion of replication studies (see the list at Center for Open Science, 2017), relative to the proportions found in standard publication routes as observed in the current and previous studies. Indeed, journals that offer Registered Reports as a route to publishing replication research meet the highest level (Level 3) of the TOP Guidelines on replication. Thus, Registered Reports have the potential to address many of the observations in our synthesis, including (a) few replications of studies with null findings, (b) low rate of publication of replications overall, (c) lack of direct replications, (d) extensive and unacknowledged heterogeneity between initial and replication studies, and (e) associations between supportiveness of replicationsâ€™ findings and author overlap or materials availability. Registered Reports also carry other benefits: (a) they allow peer review to inform the study at the design stage (rather than when it can be too late to improve the study); (b) they reduce questionable research practices; and (c) they accommodate any methods where data collection, coding, and analyses can be predetermined (e.g., including observations and interviews). Importantly, there is also potential to adapt the procedure to fit uniquely to exploratory designs and associated epistemologies in Exploratory Reports (McIntosh, 2017). Recommendation 12: Encourage journal editorial boards to consider accepting Registered Report article types and, where this is not possible, to consider undertaking results-free reviews.</p> <p>Â </p> <p>The other three initiatives indirectly promote replication efforts by adopting a Registered Reports approach to review: Language Learningâ€™s Early Career grant scheme, which prioritizes one award for a Registered Report (Marsden et al., 2018); funder collaborations with journals that integrate the Registered Reports model of peer review into the grant funding process, such as The Childrenâ€™s Tumour Foundation with PLOS ONE (2017) and the charity funder Cancer Research UK with the journal Nicotine and Tobacco Research (Munaf`o, 2017).</p>","Marsden, Emma; Morgan-Short, Kara; Thompson, Sophie; Abugaber, David","replication; methodology; publishing; systematic review; registered reports; research design; include; crisis; attention; implicit; note; comprehension; counterfactuals; grammar; language-acquisition; processing instruction; quantitative research; second language"
"<p>The registered report process guided our execution and enhanced reliability in two ways. First, it encouraged us to conduct a natural field experiment design, which provided us with significant advantages. We were able to draw causal inferences, thanks to the random selection of our treatment store-brands, and we could examine the effects of an ISSC in a natural context (Bandiera, Barankay, and Rasul [2011], Floyd and List [2016]). Furthermore, because our study was a natural field experiment, subjects were unaware that they were participating in a study. Thus, we avoided selfselection and could discard â€œHawthorne effectâ€ alternative explanations. Second, before executing our field experiment, we submitted a registered report proposal in which we committed to conducting a specific set of analyses to test our main hypotheses and delve into the tradeoffs underlying those hypotheses. Having made this commitment, we neither restated our hypotheses nor conducted any unplanned analyses except for expanding the â€œAdditional Analysesâ€ in the accepted proposal from analyzing financial outcomes to analyzing all of our three stated outcomes of interest and conducting various robustness tests. Our hypotheses were articulated based on theory instead of ex post facto rationalization of results and our analyses were based on a carefully crafted research design (refined through multiple rounds of reviews) rather than on data mining.</p> <p>Â </p> <p>30We appreciate the registered report process as it is especially supportive of projects like ours: field experiments in real organizations that could address important and relevant research questions but are costly and risky to implement. The discipline enforced by this review process helped us adhere to the original study design and enabled us to carry out this experiment in the face of unanticipated difficulties. We also appreciate the early feedback that we received before conducting our field experiment, which led to a higher quality and more powerful study.</p>","Li, Shelley Xin; Sandino, Tatiana","design; creativity; productivity; field experiments; include; selection; impact; note; authority; engagement; generation; geographically dispersed   organizations; idea; information sharing systems; integration; knowledge sharing; labor management; learning; organizations; retail chains"
"<p>Some journals are responding to the changes in academic publishing by using registered reports (Chambers, Dienes, McIntosh, Rothstein, &amp; Wilmes, 2015; Nosek &amp; Larkens, 2014) and are increasingly under pressure to publish null results (Nosek et al., 2015). This confluence of events may make this time an ideal one for publishing through research partnerships. One of the caveats of conducting organizational research is the fear of null results, particularlywith quasi-experimental or observational designs, shortened measures, and imperfect real-world criteria. Fortunately, journal editorsâ€™ attitudes and ideas around null results are changing. If academics can identify journals that are willing to publish null results or that accept registered reports, thismay provide a greater guarantee of a top-tier journal publication.</p> <p>Â </p> <p>Based on the stakeholder analysis, the authors would like to make the following broad recommendations for academics, universities, and consulting firms.: Journals should also utilize and promote registered reports as a way to allow methodologically rigorous studies to appear in their pages while allowing for the potential of null results</p>","Islam, Sayeedul; Lahti, Ken; Chetta, Michael H.","include; registered-reports; note; satisfaction"
"<p>In addition to the benefits of preregistration, this workflow [RR] addresses selective reporting of results and facilitates improving research designs during the peer review process</p>","Nosek, Brian A.; Ebersole, Charles R.; DeHaven, Alexander C.; Mellor, David T.","psychology; preregistration; bias; methodology; transparency; open science; confirmatory analysis; exploratory analysis; science; registration; file drawer; registered reports; inference; include; truth; note; false"
"<p style=""text-align: left;"">In addition to offering an outlet for replication studies, the special issue also employed a process similar to â€œregistered reports""....the editors and reviewers evaluated the studies without knowing the results. This method is similar to Nosek and Lakensâ€™s (2014) special issue of Social Psychology. Nosek and Lakens argued that registered reports avoid the problem of editors and reviewers preferring findings that are statistically significant and congenial to the existing research record. If a study is on an important topic and the methodology is sound, then it should not matter if the findings are statistically significant or if they confirm the existing research record, and actually may be more interesting if they are not/do not.</p>","McEwan, Bree; Carpenter, Christopher J.; Westerman, David","design; Quantitative Methods; Meta-Analysis; include; note; Communication Research; Communication Science; Registered   Reports; Replications"
"<p>Registered reports are an advance on preregistration because they mandate publication irrespective of the results, which reduces the risk of selective publication. Registered reports and preregistration do not impede exploratory research, but they facilitate the distinction between exploratory and confirmatory research up front by giving researchers the opportunity to declare the nature of the work.</p> <p>At the time of writing, no mainstay pain journals offered publication of registered reports (Table1). This seems to present an excellent opportunity to move our field forward</p>","Lee, Hopin; Lamb, Sarah E.; Bagg, Matthew K.; Toomey, Elaine; Cashin, Aidan G.; Moseley, G. Lorimer","empirical; include; sample-size; note; editorial_policies"
"<p>The main issue noted in this review is a serious lack of reporting. Therefore, first and foremost future studies should use the CONSORT[61] and STROBE[62] statements to ensure that researchers comprehensively describe their methods and results. In addition, study protocols should be registered in advance to improve transparency and prevent possible reporting bias. We acknowledge that up till now limited options were available to preregister non-medical research. Currently though suitable alternatives are widely available, either in the form of open-access repositories such as the Open Science Framework (https:// cos.io/our-products/open-science-framework) or Dataverse (https://dataverse.org/), or in the form of so-called Âªregistered reportsÂº format</p>","Kal, Elmar; Prosee, Rens; Winters, Marinus; van der Kamp, John","include; registered-reports; metaanalysis; note; acquisition; analogy; attentional focus; automaticity; errorless; know-how; memory   processes; task-performance"
"<p>A major strength of the Registered Report publishing mechanism is that all statistical analyses are pre-planned and reviewed before data collection begins. However, because the experimental outcome itself cannot be known in advance, it is sometimes helpful to follow up the preregistered analyses with additional statistical queries. Below, we present the results of a set of analyses that, while not preregistered, aim to provide more context and a richer depiction of the dataset</p>","Grubb, Michael A.; Christensen, Gabriela; Albanese, John","include; performance; voluntary; note; attention affects; contrast; Exogenous attention; reflexive; Selection history; Spatial attention; visual-attention"
"<p>The second possible solution is pre-registration of rationale, research design, and methods prior to experimentation []</p>","Gorman, Dennis M.","empirical; include; note; RRs"
"<p>Our working hypothesis was that scholars simply perceived the risks too high and the net benefits too low. With this hypothesis in hand, the Reviewâ€™s editorial team brainstormed ways in which we could shift the perceived risk away from the scholars to us as editors. One potential risk-shifting mechanism we identified was Registered Reports (RRs), a new peer-reviewed editorial protocol developed in the cognitive sciences.</p> <p>Â </p> <p>The promulgators of RRs argue they eliminate the disincentives for authors to publish negative or â€œnon-â€ results, better complying with the spirit of the scientific method and thus ameliorating publication bias. Many fields of scientific inquiry are tailored to the production of positive results and not the production of objective, well-executed research, they argue. Opponents of RRs argue that conditional pre-acceptance of a paper limits post hoc exploratory analysis that is inherently organic in research, as an experimental procedure is often revealed to be flawed after results are tabulated.3 There are other criticisms of RRs, such as the fact that they create incentives for scholars to fish for positive secondary results by selecting among the most favorable post hoc outcomes for their paper to boost citations</p> <p>Weighing these pros and cons of RRs, the Reviewâ€™s editorial team believed the core element of RRs, that authors are offered in-principle acceptance before final results are known, could be just the incentive needed to draw out hesitant scholars who might be inclined to take on a new research project on FinTech. It was imperative to follow a competitive process by which proposals would be evaluated, and with this in mind, we recruited a distinguished scientific review committee to help us. To manage the potential risk that scholars would retrofit a completed paper as an â€œas-ifâ€ proposal, we initiated a very short timeline for the proposals to be submitted.</p> <p>Figure 1 -Timeline of the RFS FinTech Registered Reports editorial protocol</p>","Goldstein, Itay; Jiang, Wei; Karolyi, G. Andrew","include; note"
"<p>The second possible solution [to publication bias] is pre-registration of rationale, research design, and methods prior to experimentation [they confuse prereg for RRs]</p> <p>Â </p> <p>Variations of this publication model [RRs] are growing rapidly in different fields, including medicine,45 psychology,44 and neuroscience.41 Notably, there are early signs of preregistration in the exercise sciences.46 This model has several clear benefits. First, scientists do not feel as pressured to report positive results, provided they follow their proposal. Second, pre-registration reduces the so-called â€œresearcherâ€™s degrees of freedomâ€, or the decision on how to analyze the data both before and after the data collection phase, which allows scientists to implement an analysis that favors the positive, rather than â€˜nonsignificantâ€™ or trivial results.33 Third, by committing to an analysis beforehand, the effects of various biased practices, such as HARKing or P hacking, should be reduced substantially.41 Finally, the number of â€˜non-significantâ€™ or trivial results in clinical trials has grown substantially since pre-registrations have been incorporated.47 While this solution is not perfect and does not fit all types of research questions, we believe that it is a model worth adopting in the exercise and sports science field. </p> <p>In addition to a cultural shift, implementing pre-registration and/or blinded results to peer reviews will be helpful in reducing the frequency of these negative occurrences</p>","Halperin, Israel; Vigotsky, Andrew D.; Foster, Carl; Pyne, David B.","psychology; replicability; replication; methodology; include; registered-reports; crisis; hypothesis; biomarkers; note; muscle protein-synthesis; null results; programs; surrogate end-points"
