"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AEQTHBM6","journalArticle","2018","Haun, Jolie; Chavez, Margeaux; Hathaway, Wendy; Antinori, Nicole; Melillo, Christine; Cotner, Bridget A.; McMahon-Grenz, Julie; Zilka, Brian; Patel-Teague, Shilpa; Messina, William; Nazi, Kim","Virtual Medical Modality Implementation Strategies for Patient-Aligned Care Teams to Promote Veteran-Centered Care: Protocol for a Mixed-Methods Study","Jmir Research Protocols","","1929-0748","10.2196/11262","","Background: The Veterans Health Administration (VHA) is making system-wide efforts to increase integrated use of health information technology (HIT), including My HealtheVet (MHV), the Veterans Affairs (VA) electronic patient portal, Vet Link kiosks, telehealth, and mobile apps. Integrated use of HIT can increase individual and system efficiency, maximize resources, and enhance patient outcomes. Prior research indicates that provider endorsement and reinforcement are key determinants of patient adoption of HIT. HIT implementation strategies need to reflect providers' perspectives to promote adoption and endorsement of these tools; however, providers often lack awareness or are unmotivated to incorporate HIT into clinical care with their patients. When these modalities are used by patients, the approach is often fragmented rather than integrated within and across care settings. Research is needed to identify effective implementation strategies for increasing patient-aligned care team (PACT) member (ie, the VHA's Patient Centered Medical Home) awareness and motivation to use HIT in a proactive and integrated approach with patients. Objective: This paper describes the rationale, design, and methods of the PACT protocol to promote proactive integrated use of HIT. Methods: In Aim 1, focus groups (n=21) were conducted with PACT members (n=65) along with questionnaires and follow-up individual interviews (n=16). In Aim 2, the team collaborated with VA clinicians, electronic health researchers and operational partners to conduct individual expert interviews (n=13), and an environmental scan to collect current and emerging provider-focused implementation tools and resources. Based on Aim 1 findings, a gap analysis was conducted to determine what implementation strategies and content needed to be adapted or developed. Following the adaptation or development of resources, a PACT expert panel was convened to evaluate the resultant content. In Aim 3, a local implementation of PACT-focused strategies to promote integrated use of HIT was evaluated using pre-and postquestionnaire surveys, brief structured interviews, and secondary data analysis with PACT members (n=63). Results: Study enrollment for Aim 1 has been completed. Aims 1 and 2 data collection and analysis are underway. Aim 3 activities are scheduled for year 3. Conclusions: This work highlights the practical, technological, and participatory factors involved in facilitating implementation research designed to engage PACT clinical members in the proactive integrated use of HIT. These efforts are designed to support the integrated and proactive use of VA HIT to support clinical care coordination in ways that are directly aligned with PACT member preferences. This study evaluated integrated VA HIT use employing mixed-methods and multiple data sources. Deliverables included PACT-focused strategies to support integrated use of HIT in the ambulatory care setting that will also inform strategy development in other systems of care and support subsequent implementation efforts at regional and national levels. Registered Report Identifier: RR1-10.2196/11262","2018-08","2019-10-07 21:19:59","2019-10-08 22:07:04","","e11262","","8","7","","JMIR RES. Protoc.","","","","","","","","English","","","","","","","WOS:000443597300014","","C:\Users\zn18986\Zotero\storage\DDE5TCLU\Haun et al. - 2018 - Virtual Medical Modality Implementation Strategies.pdf","","implementation; quality; diffusion; sample-size; management; ambulatory care; e-mail; health information technology; medical   informatics; physicians; veteran; virtual medical modality; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77KSPADE","journalArticle","2016","Haven, Babette; Heilig, Elysia; Donham, Cristine; Settles, Michael; Vasilevsky, Nicole; Owen, Katherine","Registered report: A chromatin-mediated reversible drug-tolerant state in cancer cell subpopulations","Elife","","2050-084X","10.7554/elife.09462","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a substantial number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of experiments from ""A chromatin-mediated reversible drug-tolerant state in cancer cell subpopulations"" by Sharma and colleagues, published in Cell in 2010 (Sharma et al., 2010). Sharma and colleagues demonstrated that prolonged exposure of cancer cells to TKIs give rise to small populations of ""drug tolerant persisters"" (DTPs) (Figure 1 B-C) that were reversed during subsequent maintenance under drug-free conditions (Figures 1E, 2B and 2E). DTPs exhibited reduced histone acetylation and sensitivity to HDAC inhibitors (HDIs) (Figure 4A-B). Drug sensitivity was restored with co-treatment of either HDIs or an IGF-1R inhibitor, in combination with TKIs (Figure 5A-B). Inhibition of IGF-1R activation also led to decreased KDM5A expression and restoration of H3K4 methylation, suggesting a direct link between the IGF-1R signaling pathway and KDM5A function (Figure 7A, 7C, and 71). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published in eLife.","2016-02-23","2019-10-07 21:19:59","2019-10-08 22:06:34","","e09462","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000371884800001","","C:\Users\zn18986\Zotero\storage\5QT3FB6A\Haven et al. - 2016 - Registered report A chromatin-mediated reversible.pdf","","mechanisms; acquired-resistance; egfr   mutations; erlotinib; evolution through-space; gefitinib; lung-cancer; tyrosine kinase inhibitors; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5M3IU3K","journalArticle","2019","Henderson, Emma L.; Vallee-Tourangeau, Frederic; Simons, Daniel J.","The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen & Wanke (2010)","Collabra-Psychology","","","10.1525/collabra.192","","When you lack the facts, how do you decide what is true and what is not? In the absence of knowledge, we sometimes rely on non-probative information. For example, participants judge concretely worded trivia items as more likely to be true than abstractly worded ones (the linguistic truth effect; Hansen & Wanke, 2010). If minor language differences affect truth judgements, ultimately they could influence more consequential political, legal, health, and interpersonal choices. This Registered Report includes two high-powered replication attempts of Experiment 1 from Hansen and Wanke (2010). Experiment la was a dual-site, in-person replication of the linguistic concreteness effect in the original paper-and-pencil format (n = 253, n = 246 in analyses). Experiment lb replicated the study with an online sample (n = 237, n = 220 in analyses). In Experiment la, the effect of concreteness on judgements of truth (Cohen's d(z) = 0.08; 95% CI: [-0.03, 0.18]) was smaller than that of the original study. Similarly, in Experiment lb the effect (Cohen's d(z) = 0.11; 95% CI [-0.01, 0.22]) was smaller than that of the original study. Collectively, the pattern of results is inconsistent with that of the original study.","2019-04-30","2019-10-07 21:19:59","2019-10-09 13:50:15","","19","","1","5","","Collabra-Psychol.","","","","","","","","English","","","","","","","WOS:000468063500001","","C:\Users\zn18986\Zotero\storage\LIMJG784\Henderson et al. - 2019 - The Effect of Concrete Wording on Truth Judgements.pdf","","replication; power; information; concreteness; language; Registered Report; truth effect; truth judgements; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRQPIKFE","journalArticle","2018","Herz, Naomi D.; Chalkidou, Anastasia; Reid, Fiona; Keevil, Stephen F.; Coleman, Andrew; Craythorne, Emma; Patalay, Rakesh","Evaluating the Diagnostic Accuracy of Reflectance Confocal Microscopy to Diagnose Skin Cancer: Protocol for a Prospective, Multicenter Study","Jmir Research Protocols","","1929-0748","10.2196/resprot.9296","","Background: In the United Kingdom, 350,000 patients per year are referred to hospital clinics with suspicious moles, and approximately half undergo a biopsy to identify the 5%-10% who require further treatment. If cancer cannot be ruled out clinically and on the basis of biopsy results, the lesion is surgically removed. One type of precancerous mole, called lentigo maligna, is particularly challenging to delineate and treat. Reflectance confocal microscopy (VivaScope, Caliber Imaging & Diagnostics) is an imaging technique that can supplement dermoscopy in identifying whether a clinically suspicious mole is malignant and can better assess lentigo maligna margins for excision. It allows clinicians to visualize the skin lesion to a depth of 200 microns with subcellular resolution, described as quasi-histological, and therefore better guide more accurate diagnoses. Objective: The aim of this paper is to describe a prospective, single blinded, multicenter study to examine patients with clinically suspicious moles or lentigo maligna to determine whether confocal microscopy can both reduce the number of unnecessary biopsies of moles and more accurately guide the surgical excision margins of lentigo maligna. Methods: This study will prospectively recruit adults into the following two cohorts: diagnostic accuracy and margin delineation. The diagnostic accuracy cohort will assess people with clinically suspicious lesions suspected of being diagnosed with melanoma and having an equivocal finding on dermoscopy or persistent clinical suspicion despite normal dermoscopy. Diagnostic accuracy will include the sensitivity and specificity of VivaScope in comparison with the histological diagnosis as the gold standard for patients. The margin delineation cohort will assess the ability of VivaScope to accurately delineate the margins of lentigo maligna compared with that of dermoscopy alone using margins taken during Mohs micrographic surgery as the gold standard. The primary study outcomes will be the diagnostic accuracy of VivaScope for the first cohort of patients and margin agreement between VivaScope and the final pathology report for the second cohort of patients. Results: Funding for this proposed research is being secured. Conclusions: The outcomes of the proposed study will indicate how many biopsies of nonmelanoma lesions, which are potentially unnecessary, could be prevented. This would reduce patient anxiety and cost to the National Health Service (NHS) in the United Kingdom. Improved margin delineation of lentigo maligna could also improve the surgical clearance rates and decrease overall cost. The results would demonstrate whether the adoption of VivaScope would potentially benefit patients and the NHS. Registered Report Identifier: RR1-10.2196/9296","2018-08","2019-10-07 21:19:59","2019-10-08 22:07:05","","e170","","8","7","","JMIR RES. Protoc.","","","","","","","","English","","","","","","","WOS:000443597300017","","C:\Users\zn18986\Zotero\storage\NNGM9LAP\Herz et al. - 2018 - Evaluating the Diagnostic Accuracy of Reflectance .pdf","","biopsy; dermoscopy; laser-scanning microscopy; lentigo maligna; melanocytic lesions; melanoma; reflectance confocal   microscopy; tumors; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VLT2SLN","journalArticle","2016","Heuvel, John P. Vanden; Bullenkamp, Jessica","Registered report: Systematic identification of genomic markers of drug sensitivity in cancer cells","Elife","","2050-084X","10.7554/elife.13620","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about the reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of key experiments from Systematic identification of genomic markers of drug sensitivity in cancer cells by Garnett and colleagues, published in Nature in 2012 (Garnett et al., 2012). The experiments to be replicated are those reported in Figures 4C, 4E, 4F, and Supplemental Figures 16 and 20. Garnett and colleagues performed a high throughput screen assessing the effect of 130 drugs on 639 cancer-derived cell lines in order to identify novel interactions for possible therapeutic approaches. They then tested this approach by exploring in more detail a novel interaction they identified in which Ewings sarcoma cell lines showed an increased sensitivity to PARP inhibitors (Figure 4C). Mesenchymal progenitor cells (MPCs) transformed with the signature EWS-FLI1 translocation, the hallmark of Ewings sarcoma family tumors, exhibited increased sensitivity to the PARP inhibitor olaparib as compared to MPCs transformed with a different translocation (Figure 4E). Knockdown mediated by siRNA of EWS-FLI1 abrogated this sensitivity to olaparib (Figure 4F). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.","2016-06-23","2019-10-07 21:19:59","2019-10-08 22:06:34","","e13620","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000379604400001","","C:\Users\zn18986\Zotero\storage\HIRMU66B\Heuvel and Bullenkamp - 2016 - Registered report Systematic identification of ge.pdf","","ewings-sarcoma; parp-1 inhibition; poly(adp-ribose) polymerase; rationale; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRI9QESJ","journalArticle","2018","Hightow-Weidman, Lisa B.; Muessig, Kathryn; Rosenberg, Eli; Sanchez, Travis; LeGrand, Sara; Gravens, Laura; Sullivan, Patrick S.","University of North Carolina/Emory Center for Innovative Technology (iTech) for Addressing the HIV Epidemic Among Adolescents and Young Adults in the United States: Protocol and Rationale for Center Development","Jmir Research Protocols","","1929-0748","10.2196/10365","","Background: Over a fifth of all new HIV infections in the United States occur among persons aged 13 24 years, with most of these diagnoses occurring among gay and bisexual males (81%). While the epidemic of HIV in the United States has leveled off for many age groups, the annual number of new HIV diagnoses among young men who have sex with men (YMSM; 13-24 years old) remains high. Traditional approaches to continuum improvement for youth have been insufficient, and targeted interventions are urgently needed for young people at risk for or infected with HIV. Interventions delivered through mobile health technology represent a promising approach for improving outcomes in this population. Mobile phones have nearly reached saturation among youth, making mobile technology a particularly promising tool for reaching this population. Objective: The University of North Carolina/Emory Center for Innovative Technology (iTech) is a National Institutes of Health cooperative agreement as part of the Adolescent Medicine Trials Network for HIV/AIDS Interventions. iTech aims to impact the HIV epidemic by conducting innovative, interdisciplinary research on technology-based interventions across the HIV prevention and care continuum for adolescents and young adults in the United States, particularly YMSM, by providing the following: (1) evaluation of novel approaches to identifying youth with undiagnosed HIV infections; (2) evaluation of multilevel, combination prevention approaches, particularly relevant to gender-and sexual-minority youth facing co-occurring health risks; (3) evaluation of uptake of and adherence to biomedical prevention modalities; and 4) evaluation of interventions designed to promote or optimize engagement in care and antiretroviral therapy adherence in HIV-positive youth, to optimize viral load suppression. Methods: iTech brings together multidisciplinary experts in the fields of adolescent HIV treatment and prevention, development and evaluation of technology-based interventions, HIV surveillance and epidemiology, and intervention design and evaluation. This initiative will support 8 efficacy trials and 2 exploratory projects, each led by 2 principal investigators. Taken together, the studies address all of the key steps of the HIV prevention and care continuum for youth in the United States. Each proposal uses technology in a scientifically rigorous and innovative way to access, engage, and impact at-risk or infected youth. Nine iTech subject recruitment venues are spread across 8 US cities. Three cores (management, analytic, and technology) support all iTech activities and form the research network's infrastructure, facilitating all aspects of study implementation and evaluation. Results: Formative work has already begun on many of the above-mentioned iTech trials. We expect the first randomized controlled trials to begin in mid-2018. Additional details can be found in the individual intervention protocol papers in this issue. Conclusions: Through its comprehensive research portfolio, iTech aims to effectively advance HIV prevention and care for youth through technology-based, youth-relevant interventions that maximize adaptability and sustainability. Registered Report Identifier: RR1-10.2196/10365","2018-08","2019-10-07 21:19:59","2019-10-08 22:07:04","","e10365","","8","7","","JMIR RES. Protoc.","","","","","","","","English","","","","","","","WOS:000443597300021","","","","technology; intervention; adolescent; mobile app; prevention; antiretroviral therapy; black-men; care continuum; hiv; life-steps; medication adherence; preexposure prophylaxis; risk behavior; sex; transgender   women; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WN9K3S2I","journalArticle","2016","Hobson, Hannah M.; Bishop, Dorothy V. M.","Mu suppression - A good measure of the human mirror neuron system?","Cortex","","0010-9452","10.1016/j.cortex.2016.03.019","","Mu suppression has been proposed as a signature of the activity of the human mirror neuron system (MNS). However the mu frequency band (8-13 Hz) overlaps with the alpha frequency band, which is sensitive to attentional fluctuation, and thus mu suppression could potentially be confounded by changes in attentional engagement. The specific baseline against which mu suppression is assessed may be crucial, yet there is little consistency in how this is defined. We examined mu suppression in 61 typical adults, the largest mu suppression study so far conducted. We compared different methods of base lining, and examined activity at central and occipital electrodes, to both biological (hands) and non-biological (kaleidoscope) moving stimuli, to investigate the involvement of attention and alpha activity in mu suppression. We also examined changes in beta power, another candidate index of MNS engagement. We observed strong mu suppression restricted to central electrodes when participants performed hand movements, demonstrating that mu is indeed responsive to the activity of the motor cortex. However, when we looked for a similar signature of mu suppression to passively observed stimuli, the baselining method proved to be crucial. Selective suppression for biological versus non biological stimuli was seen at central electrodes only when we used a within-trial baseline based on a static stimulus: this method greatly reduced trial-by-trial variation in the suppression measure compared with baselines based on blank trials presented in separate blocks. Even in this optimal condition, 16-21% of participants showed no mu suppression. Changes in beta power also did not match our predicted pattern for MNS engagement, and did not seem to offer a better measure than mu. Our conclusions are in contrast to those of a recent meta-analysis, which concluded that mu suppression is a valid means to examine mirror neuron activity. We argue that mu suppression can be used to index the human MNS, but the effect is weak and unreliable and easily confounded with alpha suppression. (C) 2016 The Authors. Published by Elsevier Ltd.","2016-09","2019-10-07 21:19:59","2019-10-08 22:06:23","","290-310","","","82","","Cortex","","","","","","","","English","","","","","","","WOS:000381535800025","","C:\Users\zn18986\Zotero\storage\GMGFYQNX\Hobson and Bishop - 2016 - Mu suppression - A good measure of the human mirro.pdf","","Methods; eeg; Alpha; alpha band; Baseline; Beta; eeg   evidence; electrophysiological   correlate; erp generator patterns; Frequency; gender-differences; generic method; laplacian   wave-forms; Mirror neurons; Mu suppression; primary motor cortex; principal-components-analysis; synchronization ers; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDCGHKS7","journalArticle","2017","Hobson, Hannah M.; Bishop, Dorothy V. M.","Reply to Bowman et al.: Building the foundations for moving mu suppression research forward","Cortex","","0010-9452","10.1016/j.cortex.2017.06.012","","","2017-11","2019-10-07 21:19:59","2019-10-08 22:06:23","","126-128","","","96","","Cortex","","","","","","","","English","","","","","","","WOS:000415912600013","","C:\Users\zn18986\Zotero\storage\JDR2SAM9\Hobson and Bishop - 2017 - Reply to Bowman et al. Building the foundations f.pdf","","exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZAH49GS","journalArticle","2019","Horbach, S. P. J. M.; Halffman, W.","The ability of different peer review procedures to flag problematic publications","Scientometrics","","0138-9130","10.1007/s11192-018-2969-2","","There is a mounting worry about erroneous and outright fraudulent research that gets published in the scientific literature. Although peer review's ability to filter out such publications is contentious, several peer review innovations attempt to do just that. However, there is very little systematic evidence documenting the ability of different review procedures to flag problematic publications. In this article, we use survey data on peer review in a wide range of journals to compare the retraction rates of specific review procedures, using the Retraction Watch database. We were able to identify which peer review procedures were used since 2000 for 361 journals, publishing a total of 833,172 articles, of which 670 were retracted. After addressing the dual character of retractions, signalling both a failure to identify problems prior to publication, but also the willingness to correct mistakes, we empirically assess review procedures. With considerable conceptual caveats, we were able to identify peer review procedures that seem able to detect problematic research better than others. Results were verified for disciplinary differences and variation between reasons for retraction. This leads to informed recommendations for journal editors about strengths and weaknesses of specific peer review procedures, allowing them to select review procedures that address issues most relevant to their field.","2019-01","2019-10-07 21:19:59","2019-10-31 11:24:44","","339-373","","1","118","","Scientometrics","","","","","","","","English","","","","","","","WOS:000456290600016","","C:\Users\zn18986\Zotero\storage\H3QYSRSK\Horbach and Halffman - 2019 - The ability of different peer review procedures to.pdf","","empirical; retraction; include; RRs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZ89JJNS","journalArticle","2017","Horrigan, Stephen K.","Replication Study: The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors","Elife","","2050-084X","10.7554/elife.18173","","In 2015, as part of the Reproducibility Project: Cancer Biology, we published a Registered Report (Chroscinski et al., 2015) that described how we intended to replicate selected experiments from the paper The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors (Willingham et al., 2012). Here we report the results of those experiments. We found that treatment of immune competent mice bearing orthotopic breast tumors with anti-mouse CD47 antibodies resulted in short-term anemia compared to controls, consistent with the previously described function of CD47 in normal phagocytosis of aging red blood cells and results reported in the original study (Table S4; Willingham et al., 2012). The weight of tumors after 30 days administration of anti-CD47 antibodies or IgG isotype control were not found to be statistically different, whereas the original study reported inhibition of tumor growth with anti-CD47 treatment (Figure 6A,B; Willingham et al., 2012). However, our efforts to replicate this experiment were confounded because spontaneous regression of tumors occurred in several of the mice. Additionally, the excised tumors were scored for inflammatory cell infiltrates. We found IgG and anti-CD47 treated tumors resulted in minimal to moderate lymphocytic infiltrate, while the original study observed sparse lymphocytic infiltrate in IgG-treated tumors and increased inflammatory cell infiltrates in anti-CD47 treated tumors (Figure 6C; Willingham et al., 2012). Furthermore, we observed neutrophilic infiltration was slightly increased in anti-CD47 treated tumors compared to IgG control. Finally, we report a meta-analysis of the result.","2017-01-19","2019-10-07 21:20:26","2019-10-08 22:06:35","","e18173","","","6","","eLife","","","","","","","","English","","","","","","","WOS:000393395000001","","C:\Users\zn18986\Zotero\storage\7UCRQWX3\Horrigan - 2017 - Replication Study The CD47-signal regulatory prot.pdf","","model; growth; cells; breast-cancer; cd47; immunity; immunotherapy; ligand; receptor; spontaneous regression; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P36MNBAB","journalArticle","2017","Horrigan, Stephen K.; Courville, Pascal; Sampey, Darryl; Zhou, Faren; Cai, Steve","Replication Study: Melanoma genome sequencing reveals frequent PREX2 mutations","Elife","","2050-084X","10.7554/elife.21634","","In 2015, as part of the Reproducibility Project: Cancer Biology, we published a Registered Report (Chroscinski et al., 2014) that described how we intended to replicate selected experiments from the paper ""Melanoma genome sequencing reveals frequent PREX2 mutations"" (Berger et al., 2012). Here we report the results of those experiments. We regenerated cells stably expressing ectopic wild-type and mutant phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 (PREX2) using the same immortalized human NRAS(G12D) melanocytes as the original study. Evaluation of PREX2 expression in these newly generated stable cells revealed varying levels of expression among the PREX2 isoforms, which was also observed in the stable cells made in the original study (Figure S6A; Berger et al., 2012). Additionally, ectopically expressed PREX2 was found to be at least 5 times above endogenous PREX2 expression. The monitoring of tumor formation of these stable cells in vivo resulted in no statistically significant difference in tumor-free survival driven by PREX2 variants, whereas the original study reported that these PREX2 mutations increased the rate of tumor incidence compared to controls (Figure 3B and S6B; Berger et al., 2012). Surprisingly, the median tumor-free survival was 1 week in this replication attempt, while 70% of the control mice were reported to be tumor-free after 9 weeks in the original study. The rapid tumor onset observed in this replication attempt, compared to the original study, makes the detection of accelerated tumor growth in PREX2 expressing NRAS(G12D) melanocytes extremely difficult. Finally, we report meta-analyses for each result.","2017-01-19","2019-10-07 21:20:26","2019-10-08 22:06:36","","e21634","","","6","","eLife","","","","","","","","English","","","","","","","WOS:000393398100001","","C:\Users\zn18986\Zotero\storage\BUW7QVR2\Horrigan et al. - 2017 - Replication Study Melanoma genome sequencing reve.pdf","","cancer; mice; genes; landscape; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G59ZVGM3","journalArticle","2015","Incardona, Francesca; Doroudchi, M. Mehdi; Ismail, Nawfal; Carreno, Alberto; Griner, Erin; Lim, Minyoung Anna","Registered report: Interactions between cancer stem cells and their niche govern metastatic colonization","Elife","","2050-084X","10.7554/elife.06938","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by replicating selected results from a substantial number of high-profile papers in the field of cancer biology published between 2010 and 2012. This Registered report describes the proposed replication plan of key experiments from 'Interactions between cancer stem cells and their niche govern metastatic colonization' by Malanchi and colleagues, published in Nature in 2012 (Malanchi et al., 2012). The key experiments that will be replicated are those reported in Figures 2H, 3A, 3B, and S13. In these experiments, Malanchi and colleagues analyze messenger RNA levels of periostin (POSTN) in pulmonary fibroblasts, endothelial cells, and immune cells isolated from mice with micrometastases to determine which cell type is producing POSTN in the metastatic niche (Figure 2H; Malanchi et al., 2012). Additionally, they examine MMTV-PyMT control or POSTN null mice to test the effect of POSTN on primary tumor growth and metastasis (Figures 3A, 3B, and S13; Malanchi et al., 2012). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published in eLife.","2015-06-18","2019-10-07 21:20:26","2019-10-08 22:06:36","","e06938","","","4","","eLife","","","","","","","","English","","","","","","","WOS:000356423600001","","C:\Users\zn18986\Zotero\storage\ZH5G9D9M\Incardona et al. - 2015 - Registered report Interactions between cancer ste.pdf","","model; growth; periostin; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NESUM4IX","journalArticle","2018","Islam, Sayeedul; Lahti, Ken; Chetta, Michael H.","Research Partnerships Between Academics and Consulting Firms: A Stakeholder Analysis","Industrial and Organizational Psychology-Perspectives on Science and Practice","","1754-9426","10.1017/iop.2018.121","","The focal article (LaPierre et al., 2018) proposes several steps in developing a research partnership with organizations. We commend LaPierre and colleagues for bringing to light these recommendations. We agree that research partnerships may prove valuable for the science of industrial and organizational (I-O) psychology. For I-O psychology to grow as a science, more appropriate sampling and more relevant data sources are necessary (Landers & Behrend, 2015). Although I-O psychology master's and PhD programs continue to grow and produce more I-O psychology graduates that enter the applied marketplace, there remains a paucity of applied research partnerships between academics and organizations. Research partnerships are often established in other disciplines (i.e., computer science, public health, biochemistry) and have resulted in fruitful relationships for both parties (D'Este & Iammarino, 2010; Israel, Schulz, Parker, & Becker, 1998; Santoro & Betts, 2002), but similar partnerships have not become the norm in I-O psychology. Despite a growing number of I-O psychology graduates and programs (Shellenbarger, 2010), I-O psychology academics have not leveraged those relationships to create research partnerships between universities and business. We would argue that this lack of research partnerships is due to the difficulty of navigating and negotiating with the multiple stakeholders involved in the process of developing a research partnership.","2018-12","2019-10-07 21:20:26","2019-10-28 20:29:07","","596-605","","4","11","","Ind. Organ. Psychol.","","","","","","","","English","","","","","","","WOS:000454499700006","<p>Some journals are responding to the<br />changes in academic publishing by using registered reports (Chambers, Dienes,<br />McIntosh, Rothstein, &amp; Wilmes, 2015; Nosek &amp; Larkens, 2014) and<br />are increasingly under pressure to publish null results (Nosek et al., 2015).<br />This confluence of events may make this time an ideal one for publishing<br />through research partnerships. One of the caveats of conducting organizational<br />research is the fear of null results, particularlywith quasi-experimental<br />or observational designs, shortened measures, and imperfect real-world criteria.<br />Fortunately, journal editors’ attitudes and ideas around null results are<br />changing. If academics can identify journals that are willing to publish null<br />results or that accept registered reports, thismay provide a greater guarantee of a top-tier journal publication.</p> <p> </p> <p>Based on the stakeholder analysis, the authors would like to make the following<br />broad recommendations for academics, universities, and consulting<br />firms.: Journals should also utilize<br />and promote registered reports as a way to allow methodologically<br />rigorous studies to appear in their pages while allowing for the potential<br />of null results</p>","C:\Users\zn18986\Zotero\storage\BU5WUGLP\Islam et al. - 2018 - Research Partnerships Between Academics and Consul.pdf","","registered-reports; satisfaction; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
