"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Citekey"
"8P6ZT7WY","journalArticle","2018","Frankenhuis, Willem E.; Nettle, Daniel","Open Science Is Liberating and Can Foster Creativity","Perspectives on Psychological Science","","1745-6916","10.1177/1745691618767878","","Some scholars think that Open Science practices constrain researchers in ways that reduce their creativity, arguing, for instance, that preregistration discourages data exploration and so stifles discovery. In this article, we argue the opposite: Open Science practices are liberating and can foster creativity. Open Science practices are liberating because they (a) enable us to explore data transparently and comfortably; (b) reward quality, which is under our control, rather than outcomes, which are not; and (c) reduce the choke hold of needing to find ""positive"" results for career advancement. Open Science practices can foster creativity because they cultivate an open and flexible mind-set, create a more collaborative and constructive climate, and generate more accurate information and make it more accessible. In sum, Open Science liberates researchers more than it constrains them.","2018-07","2019-10-07 21:19:59","2019-10-28 21:42:01","","439-447","","4","13","","Perspect. Psychol. Sci.","","","","","","","","English","","","","","","","WOS:000438605100005","","C:\Users\zn18986\Zotero\storage\K5JRQZJ7\Frankenhuis and Nettle - 2018 - Open Science Is Liberating and Can Foster Creativi.pdf","","replication; reproducibility; open science; preregistration; replicability; creativity; doubt; uncertainty; competition; registered-reports; information; knowledge; psychological science; scientific utopia; standard; include; note","","frankenhuis2018"
"DKF7CLZW","journalArticle","2016","Geukes, Katharina; Schoenbrodt, Felix D.; Utesch, Till; Geukes, Sebastian; Back, Mitja D.","Ways Out of the Crisis of Confidence: Individual Steps Toward a Reliable and Open Science","Zeitschrift Fur Sportpsychologie","","1612-5010","2018080903521000726","","Psychology faces a so-called crisis of confidence as does sport psychology (see title of this special issue). While the debate on its causes and consequences is lively, the deduction of individual opportunities to collectively increase trust is missing. We propose ways out of this crisis and above all describe individual steps toward a reliable and open science. Reliable science refers to the publication of robust effects, as well as to direct and conceptual replications, and open science refers to transparency regarding the design (preregistration), the conducting (open material), and the analysis (open data, reproducible code) of scientific studies. The commitment to reliable and open science wilt change our behavior in the diverse roles within the scientific system (e.g., as researchers, reviewers, supervisors, editors, or members of commissions). In this sense, we consider the current discussion as a chance to enhance the trustworthiness of our findings and to ultimately create justified confidence.","2016","2019-10-07 21:19:59","2019-10-28 20:29:36","","99-109","","3","23","","Z. Sportpsychol.","","","","","","","","German","","","","","","","WOS:000392884700005","","C:\Users\zn18986\Zotero\storage\7U4AQTF3\Geukes et al. - 2016 - Ways Out of the Crisis of Confidence Individual S.pdf","","replication; open science; preregistration; replicability; incentives; research practices; registered-reports; truth; recommendations; special section; psychological-research; crisis of confidence; exercise; sport; include; note","","geukes2016"
"UGUX7Q9R","journalArticle","2019","Goldstein, Itay; Jiang, Wei; Karolyi, G. Andrew","To FinTech and Beyond","Review of Financial Studies","","0893-9454","10.1093/rfs/hhz025","","FinTech is about the introduction of new technologies into the financial sector, and it is now revolutionizing the financial industry. In 2017, when the academic finance community was not actively researching FinTech, the editorial team of the Review of Financial Studies launched a competition to develop research proposals focused on this topic. This special issue is the result. In this introductory article, we describe the recent FinTech phenomenon and the novel editorial protocol employed for this special issue following the Registered Reports format. We discuss what we learned from the submitted proposals about the field of FinTech and which ones we selected to be completed and ultimately come out in this special issue. We also provide several observations to help guide future research in the emerging area of FinTech.","2019-05","2019-10-07 21:19:59","2019-10-31 14:05:37","","1647-1661","","5","32","","Rev. Financ. Stud.","","","","","","","","English","","","","","","","WOS:000467528700001","","C:\Users\zn18986\Zotero\storage\LH8KDQ9S\Goldstein et al. - 2019 - To FinTech and Beyond.pdf","","include; empirical_case_study","","goldstein2019"
"9947RU3H","journalArticle","2017","Gorman, Dennis M.","The decline effect in evaluations of the impact of the Strengthening Families Program for Youth 10-14 (SFP 10-14) on adolescent substance use","Children and Youth Services Review","","0190-7409","10.1016/j.childyouth.2017.07.009","","The decline effect refers to the situation whereby an initially positive set of research findings concerning a phenomenon fail to be replicated in subsequent studies. One explanation for the occurrence of the decline effect is that the initial positive results reported in publications from a single research team are the product of the use of flexible data analysis practices and selective reporting. The present paper reviews evaluations of the Strengthening Families Program for Youth 10-14 (SFP 10-14) conducted by the research group who developed the program and five independent replication studies. The focus is on the effects reported for adolescent substance use. It is argued that the isolated statistically significant results reported in the original studies were produced through the use of flexible data analysis practices such as changing outcome variables across publications and post hoc alterations in study design. In light of this, it is unsurprising that the five independent evaluations have failed to replicate these results. A strength of three of the independent evaluations is that they were registered in a clinical trials registry and had published their study protocols. Both of these procedures limit the opportunity to conduct flexible data analysis. It is recommended that future evaluations of the SFP 10-14 should employ these procedures as well as utilizing the registered reports publication process, making their data and methods openly available to other researchers, and including a skeptic in their research team.","2017-10","2019-10-07 21:19:59","2019-10-28 21:42:07","","29-39","","","81","","Child. Youth Serv. Rev.","","","","","","","","English","","","","","","","WOS:000412616400005","","C:\Users\zn18986\Zotero\storage\GF8TM4R8\Gorman - 2017 - The decline effect in evaluations of the impact of.pdf","","Replication; cultural-adaptation; Decline effect; Family-based prevention; Flexible data   analysis; implementation quality; initiation outcomes; misuse; past base-line; prosper; protective shield; randomized   controlled-trial; Selective reporting; Substance use; universal preventive intervention; use outcomes; include; note","","gorman2017"
"UT6SPPBP","journalArticle","2019","Gorman, Dennis M.","Use of publication procedures to improve research integrity by addiction journals","Addiction","","0965-2140","10.1111/add.14604","","Background and Aims The credibility crisis evident in many academic disciplines has led peer-reviewed journals to implement procedures to reduce use of flexible data analysis practices and selective reporting of results. This exploratory study examined the adoption of six of these procedures by addiction journals. Methods Thirty-eight high-impact addiction journals were identified using the 2018 Clarivate Analytics Journal Citation Report for 2017 ranks. The online instructions for authors were reviewed for references to six publication procedures: conflict of interest disclosure, reporting guidelines, clinical trial registration, registration of other study designs, data-sharing and registered reports. The webpages of the Center for Open Science and Consolidated Standards of Reporting Trials (CONSORT) were also reviewed for data pertaining to registered reports and reporting guidelines, respectively. Results The range of procedures adopted by the addiction journals was 0-5, with a mean of 2.66. Conflict-of-interest disclosure was required by all but one journal. Encouraging data-sharing was the next most commonly required procedure. Fewer than half the journals recommended specific reporting guidelines or required registration of clinical trials, and only four required procedures to pre-specify hypotheses and analytical methods. Conclusions While many addiction journals have adopted publication procedures to improve research integrity, these can be limited by their voluntary nature and monitoring difficulties. More stringent requirements that lock researchers into specific hypotheses and analyses have not been widely adopted.","2019-08","2019-10-07 21:19:59","2019-10-28 20:29:07","","1478-1486","","8","114","","Addiction","","","","","","","","English","","","","","","","WOS:000475479000021","","C:\Users\zn18986\Zotero\storage\UMH8IRBI\Gorman - 2019 - Use of publication procedures to improve research .pdf","","empirical; include; RRs; note","","gorman2019"
"XLNTMN2J","journalArticle","2019","Gorman, Dennis M.; Elkins, Amber D.; Lawley, Mark","A Systems Approach to Understanding and Improving Research Integrity","Science and Engineering Ethics","","1353-3452","10.1007/s11948-017-9986-z","","Concern about the integrity of empirical research has arisen in recent years in the light of studies showing the vast majority of publications in academic journals report positive results, many of these results are false and cannot be replicated, and many positive results are the product of data dredging and the application of flexible data analysis practices coupled with selective reporting. While a number of potential solutions have been proposed, the effects of these are poorly understood and empirical evaluation of each would take many years. We propose that methods from the systems sciences be used to assess the effects, both positive and negative, of proposed solutions to the problem of declining research integrity such as study registration, Registered Reports, and open access to methods and data. In order to illustrate the potential application of systems science methods to the study of research integrity, we describe three broad types of models: one built on the characteristics of specific academic disciplines; one a diffusion of research norms model conceptualizing researchers as susceptible, infected and recovered; and one conceptualizing publications as a product produced by an industry comprised of academics who respond to incentives and disincentives.","2019-02","2019-10-07 21:19:59","2019-10-28 20:29:07","","211-229","","1","25","","Sci. Eng. Ethics","","","","","","","","English","","","","","","","WOS:000461310400012","","C:\Users\zn18986\Zotero\storage\KLJM29V8\Gorman et al. - 2019 - A Systems Approach to Understanding and Improving .pdf","","include; blind_analysis; RRs; system_dynamics_models; non-empirical_opinion; note","","gorman2019a"
"P3HFSUQQ","journalArticle","2018","Grand, James A.; Rogelberg, Steven G.; Banks, George C.; Landis, Ronald S.; Tonidandel, Scott","From Outcome to Process Focus: Fostering a More Robust Psychological Science Through Registered Reports and Results-Blind Reviewing","Perspectives on Psychological Science","","1745-6916","10.1177/1745691618767883","","A variety of alternative mechanisms, strategies, and ""ways of doing"" have been proposed for improving the rigor and robustness of published research in the psychological sciences in recent years. In this article, we describe two existing but underused publication modelsregistered reporting (RR) and results-blind reviewing (RBR)-that we believe would contribute in important ways to improving both the conduct and evaluation of psychological research. We first outline the procedures and distinguishing features of both publication pathways and note their value for promoting positive changes to current scientific practices. We posit that a significant value of RR and RBR is their potential to promote a greater focus on the research process (i.e., how and why research is conducted) relative to research outcomes (i.e., what was observed or concluded from research). We conclude by discussing what we perceive to be five common beliefs about RR and RBR practices and attempt to provide a balanced perspective of the realities likely to be experienced with these systems.","2018-07","2019-10-07 21:19:59","2019-10-28 22:33:10","","448-456","","4","13","","Perspect. Psychol. Sci.","","","","","","","","English","","","","","","","WOS:000438605100006","","C:\Users\zn18986\Zotero\storage\D4XZ22MN\Grand et al. - 2018 - From Outcome to Process Focus Fostering a More Ro.pdf","","include_key","","grand2018"
"WDNV28LL","journalArticle","2018","Greiff, Samuel; Allen, Mark S.","EJPA Introduces Registered Reports as New Submission Format","European Journal of Psychological Assessment","","1015-5759","10.1027/1015-5759/a000492","","","2018-07","2019-10-07 21:19:59","2019-10-28 22:29:07","","217-219","","4","34","","Eur. J. Psychol. Assess.","","","","","","","","English","","","","","","","WOS:000443318600001","","C:\Users\zn18986\Zotero\storage\U85CU3QE\Greiff and Allen - 2018 - EJPA Introduces Registered Reports as New Submissi.pdf","","include_key","","greiff2018"
"SY3UKB5I","journalArticle","2019","Grubb, Michael A.; Christensen, Gabriela; Albanese, John","Investigating the role of exogenous cueing on selection history formation","Psychonomic Bulletin & Review","","1069-9384","10.3758/s13423-019-01591-z","","An abundance of recent empirical data suggest that repeatedly allocating visual attention to task-relevant and/or reward-predicting features in the visual world engenders an attentional bias for these frequently attended stimuli, even when they become task irrelevant and no longer predict reward. In short, attentional selection in the past hinders voluntary control of attention in the present. But do such enduring attentional biases rely on a history of voluntary, goal-directed attentional selection, or can they be generated through involuntary, effortless attentional allocation? An abrupt visual onset triggers such a reflexive allocation of covert spatial attention to its location in the visual field, automatically modulating numerous aspects of visual perception. In this Registered Report, we asked whether a selection history that has been reflexively and involuntarily derived (i.e., through abrupt-onset cueing) also interferes with goal-directed attentional control, even in the complete absence of exogenous cues. To build spatially distinct histories of exogenous selection, we presented abrupt-onset cues twice as often at one of two task locations, and as expected, these cues reflexively modulated visual processing: task accuracy increased, and response times (RTs) decreased, when the cue appeared near the target's location, relative to that of the distractor. Upon removal of these cues, however, we found no evidence that exogenous selection history modulated task performance: task accuracy and RTs at the previously most-cued and previously least-cued sides were statistically indistinguishable. Thus, unlike voluntarily directed attention, involuntary attentional allocation may not be sufficient to engender historically contingent selection biases.","2019-08","2019-10-07 21:19:59","2019-10-28 20:29:07","","1282-1288","","4","26","","Psychon. Bull. Rev.","","","","","","","","English","","","","","","","WOS:000482783800013","","C:\Users\zn18986\Zotero\storage\XD8YUQM9\Grubb et al. - 2019 - Investigating the role of exogenous cueing on sele.pdf","","performance; attention affects; contrast; Exogenous attention; reflexive; Selection history; Spatial attention; visual-attention; voluntary; include; note","","grubb2019"
"WKCBUPZA","journalArticle","2018","Halperin, Israel; Vigotsky, Andrew D.; Foster, Carl; Pyne, David B.","Strengthening the Practice of Exercise and Sport-Science Research","International Journal of Sports Physiology and Performance","","1555-0265","10.1123/ijspp.2017-0322","","Exercise and sport sciences continue to grow as a collective set of disciplines investigating a broad array of basic and applied research questions. Despite the progress, there is room for improvement. A number of problems pertaining to reliability and validity of research practices hinder advancement and the potential impact of the field. These problems include inadequate validation of surrogate outcomes, too few longitudinal and replication studies, limited reporting of null or trivial results, and insufficient scientific transparency. The purpose of this review is to discuss these problems as they pertain to exercise and sport sciences based on their treatment in other disciplines, namely psychology and medicine, and to propose a number of solutions and recommendations.","2018-02","2019-10-07 21:19:59","2019-10-28 20:29:07","","127-134","","2","13","","Int. J. Sport Physiol. Perform.","","","","","","","","English","","","","","","","WOS:000429367100002","","","","replication; methodology; psychology; replicability; registered-reports; crisis; programs; biomarkers; hypothesis; muscle protein-synthesis; null results; surrogate end-points; include; note","","halperin2018"
"SF659LM9","journalArticle","2018","Hardwicke, Tom E.; Ioannidis, John P. A.","Mapping the universe of registered reports","Nature Human Behaviour","","2397-3374","10.1038/s41562-018-0444-y","","","2018-11","2019-10-07 21:19:59","2019-11-04 16:48:48","","793-796","","11","2","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000449539900003","","C:\Users\zn18986\Zotero\storage\KZYIXHEE\Hardwicke and Ioannidis - 2018 - Mapping the universe of registered reports.pdf","","empirical; RRs; include_key","","hardwicke2018"
"7ZAH49GS","journalArticle","2019","Horbach, S. P. J. M.; Halffman, W.","The ability of different peer review procedures to flag problematic publications","Scientometrics","","0138-9130","10.1007/s11192-018-2969-2","","There is a mounting worry about erroneous and outright fraudulent research that gets published in the scientific literature. Although peer review's ability to filter out such publications is contentious, several peer review innovations attempt to do just that. However, there is very little systematic evidence documenting the ability of different review procedures to flag problematic publications. In this article, we use survey data on peer review in a wide range of journals to compare the retraction rates of specific review procedures, using the Retraction Watch database. We were able to identify which peer review procedures were used since 2000 for 361 journals, publishing a total of 833,172 articles, of which 670 were retracted. After addressing the dual character of retractions, signalling both a failure to identify problems prior to publication, but also the willingness to correct mistakes, we empirically assess review procedures. With considerable conceptual caveats, we were able to identify peer review procedures that seem able to detect problematic research better than others. Results were verified for disciplinary differences and variation between reasons for retraction. This leads to informed recommendations for journal editors about strengths and weaknesses of specific peer review procedures, allowing them to select review procedures that address issues most relevant to their field.","2019-01","2019-10-07 21:19:59","2019-10-31 11:24:44","","339-373","","1","118","","Scientometrics","","","","","","","","English","","","","","","","WOS:000456290600016","","C:\Users\zn18986\Zotero\storage\H3QYSRSK\Horbach and Halffman - 2019 - The ability of different peer review procedures to.pdf","","empirical; retraction; include; RRs","","horbach2019"
"NESUM4IX","journalArticle","2018","Islam, Sayeedul; Lahti, Ken; Chetta, Michael H.","Research Partnerships Between Academics and Consulting Firms: A Stakeholder Analysis","Industrial and Organizational Psychology-Perspectives on Science and Practice","","1754-9426","10.1017/iop.2018.121","","The focal article (LaPierre et al., 2018) proposes several steps in developing a research partnership with organizations. We commend LaPierre and colleagues for bringing to light these recommendations. We agree that research partnerships may prove valuable for the science of industrial and organizational (I-O) psychology. For I-O psychology to grow as a science, more appropriate sampling and more relevant data sources are necessary (Landers & Behrend, 2015). Although I-O psychology master's and PhD programs continue to grow and produce more I-O psychology graduates that enter the applied marketplace, there remains a paucity of applied research partnerships between academics and organizations. Research partnerships are often established in other disciplines (i.e., computer science, public health, biochemistry) and have resulted in fruitful relationships for both parties (D'Este & Iammarino, 2010; Israel, Schulz, Parker, & Becker, 1998; Santoro & Betts, 2002), but similar partnerships have not become the norm in I-O psychology. Despite a growing number of I-O psychology graduates and programs (Shellenbarger, 2010), I-O psychology academics have not leveraged those relationships to create research partnerships between universities and business. We would argue that this lack of research partnerships is due to the difficulty of navigating and negotiating with the multiple stakeholders involved in the process of developing a research partnership.","2018-12","2019-10-07 21:20:26","2019-10-28 20:29:07","","596-605","","4","11","","Ind. Organ. Psychol.","","","","","","","","English","","","","","","","WOS:000454499700006","","C:\Users\zn18986\Zotero\storage\BU5WUGLP\Islam et al. - 2018 - Research Partnerships Between Academics and Consul.pdf","","registered-reports; satisfaction; include; note","","islam2018"
"FV26RB8E","journalArticle","2019","Jamieson, Randall K.; Bodner, Glen E.; Saint-Aubin, Jean; Titone, Debra","Registered Reports","Canadian Journal of Experimental Psychology-Revue Canadienne De Psychologie Experimentale","","1196-1961","10.1037/cep0000169","","","2019-03","2019-10-07 21:20:26","2019-11-04 16:28:31","","3-4","","1","73","","Can. J. Exp. Psychol.-Rev. Can. Psychol. Exp.","","","","","","","","English","","","","","","","WOS:000461486700002","","","","editorial; include; announcement_RRs; note","","jamieson2019"
"X386GPKG","journalArticle","2018","Kal, Elmar; Prosee, Rens; Winters, Marinus; van der Kamp, John","Does implicit motor learning lead to greater automatization of motor skills compared to explicit motor learning? A systematic review","Plos One","","1932-6203","10.1371/journal.pone.0203591","","Background Implicit motor learning is considered to be particularly effective for learning sports-related motor skills. It should foster movement automaticity and thereby facilitate performance in multitasking and high-pressure environments. To scrutinize this hypothesis, we systematically reviewed all studies that compared the degree of automatization achieved (as indicated by dual-task performance) after implicit compared to explicit interventions for sports-related motor tasks. Methods For this systematic review (CRD42016038249) conventional (MEDLINE, CENTRAL, Embase, PsycINFO, SportDiscus, Web of Science) and grey literature were searched. Two reviewers independently screened reports, extracted data, and performed risk of bias assessment. Implicit interventions of interest were analogy-, errorless-, dual-task-, and external focus learning. Data analysis involved descriptive synthesis of group comparisons on absolute motor dual-task (DT) performance, and motor DT performance relative to single-task motor performance (motor DTCs). Results Of the 4125 reports identified, we included 25 controlled trials that described 39 implicit-explicit group comparisons. Risk of bias was unclear across trials. Most comparisons did not show group differences. Some comparisons showed superior absolute motor DT performance (N = 2), superior motor DTCs (N = 4), or both (N = 3) for the implicit compared to the explicit group. The explicit group showed superior absolute motor DT performance in two comparisons. Conclusions Most comparisons did not show group differences in automaticity. The remaining comparisons leaned more toward a greater degree of movement automaticity after implicit learning than explicit learning. However, due to an overall unclear risk of bias the strength of the evidence is level 3. Motor learning-specific guidelines for design and especially reporting are warranted to further strengthen the evidence and facilitate low-risk-of-bias trials.","2018-09-05","2019-10-07 21:20:26","2019-10-28 20:29:07","","e0203591","","9","13","","PLoS One","","","","","","","","English","","","","","","","WOS:000443789900077","","C:\Users\zn18986\Zotero\storage\B5HNIIRG\Kal et al. - 2018 - Does implicit motor learning lead to greater autom.pdf","","registered-reports; metaanalysis; acquisition; analogy; attentional focus; automaticity; errorless; know-how; memory   processes; task-performance; include; note","","kal2018"
"H2V39TPR","journalArticle","2019","Kettler, Todd","Conducting Registered Report Research: A Conversation With Matthew McBee and Scott Peters","Journal of Advanced Academics","","1932-202X","10.1177/1932202x18809371","","The movement toward open-science is multifaceted with the general goal to promote both better scientific practices and greater access to scientific information. One aspect of the open-science framework is the recommended use of registered reports replacing the legacy model that dictates research manuscripts are submitted for initial review only after the completion of the study and the development of a full manuscript. At the time of this conversation, 125 journals were participating in the initiative to accept registered reports. At the completion of the conversation, that number had increased to 130. The majority of those journals are in the fields of psychology and medicine. Gifted Child Quarterly and the Journal of Advanced Academics were among the first education journals to open their editorial policies to accept and encourage registered report research. Matthew McBee and Scott Peters have consistently advocated for this movement toward registered reports and open science in gifted education and advanced academic research. This interview shares their rationale for the movement toward registered reports and the potential benefits to research in the fields of gifted education and advanced academics.","2019-02","2019-10-07 21:20:26","2019-10-28 22:23:40","","3-26","","1","30","","J. Adv. Acad.","","","","","","","","English","","","","","","","WOS:000455397400001","","C:\Users\zn18986\Zotero\storage\224UVYQM\Kettler - 2019 - Conducting Registered Report Research A Conversat.pdf","","include_key; empirical_case_study","","kettler2019"
"ZWAIFE3P","journalArticle","2019","Kiyonaga, Anastasia; Scimeca, Jason M.","Practical Considerations for Navigating Registered Reports","Trends in Neurosciences","","0166-2236","10.1016/j.tins.2019.07.003","","Recent open science efforts to improve rigor and reliability have sparked great enthusiasm. Among these, the Registered Report publication format integrates best practices in hypothesis-driven research with peer review that occurs before the research is conducted. Here, we detail practical recommendations to help researchers negotiate the mechanics of this developing format.","2019-09","2019-10-07 21:20:26","2019-11-03 12:31:30","","568-572","","9","42","","Trends Neurosci.","","","","","","","","English","","","","","","","WOS:000483367900004","","C:\Users\zn18986\Zotero\storage\PZLR8U9Y\Kiyonaga and Scimeca - 2019 - Practical Considerations for Navigating Registered.pdf","","include_key_has_critique; guidelines_RRs","","kiyonaga2019"
"W4PVTB8U","journalArticle","2017","Larson, Michael J.; Carbine, Kaylie A.","Sample size calculations in human electrophysiology (EEG and ERP) studies: A systematic review and recommendations for increased rigor","International Journal of Psychophysiology","","0167-8760","10.1016/j.ijpsycho.2016.06.015","","There is increasing focus across scientific fields on adequate sample sizes to ensure non-biased and reproducible effects. Very few studies, however, report sample size calculations or even the information needed to accurately calculate sample sizes for grants and future research. We systematically reviewed 100 randomly selected clinical human electrophysiology studies from six high impact journals that frequently publish electroencephalography (EEG) and event-related potential (ERP) research to determine the proportion of studies that reported sample size calculations, as well as the proportion of studies reporting the necessary components to complete such calculations. Studies were coded by the two authors blinded to the other's results. Inter-rater reliability was 100% for the sample size calculations and kappa above 0.82 for all other variables. Zero of the 100 studies (0%) reported sample size calculations. 77% utilized repeated-measures designs, yet zero studies (0%) reported the necessary variances and correlations among repeated measures to accurately calculate future sample sizes. Most studies (93%) reported study statistical values (e.g., For t values). Only 40% reported effect sizes, 56% reported mean values, and 47% reported indices of variance (e.g., standard deviations/standard errors). Absence of such information hinders accurate determination of sample sizes for study design, grant applications, and meta-analyses of research and whether studies were adequately powered to detect effects of interest. Increased focus on sample size calculations, utilization of registered reports, and presenting information detailing sample size calculations and statistics for future researchers are needed and will increase sample size-related scientific rigor in human electrophysiology research. (C) 2016 Elsevier B.V. All rights reserved.","2017-01","2019-10-07 21:20:26","2019-10-28 21:42:07","","33-41","","","111","","Int. J. Psychophysiol.","","","","","","","","English","","","","","","","WOS:000392554600004","","C:\Users\zn18986\Zotero\storage\AGU5CYWT\Larson and Carbine - 2017 - Sample size calculations in human electrophysiolog.pdf","","recommendations; include; empirical_SR; note; power_calculation_prev","","larson2017"
"DMFMBEGU","journalArticle","2018","Lee, Hopin; Lamb, Sarah E.; Bagg, Matthew K.; Toomey, Elaine; Cashin, Aidan G.; Moseley, G. Lorimer","Reproducible and replicable pain research: a critical review","Pain","","0304-3959","10.1097/j.pain.0000000000001254","","","2018-09","2019-10-07 21:20:26","2019-10-28 20:29:07","","1683-1689","","9","159","","Pain","","","","","","","","English","","","","","","","WOS:000451225300005","","","","empirical; sample-size; include; editorial_policies; note","","lee2018"
"LDAU7T28","journalArticle","2018","Li, Shelley Xin; Sandino, Tatiana","Effects of an Information Sharing System on Employee Creativity, Engagement, and Performance","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12202","","Many service organizations rely on information sharing systems to boost employee creativity to meet customer needs. We conducted a field experiment in a retail chain, based on a registered report accepted by JAR, to test whether an information sharing system recording employees' creative work affected the quality of creative work, job engagement, and financial performance. We found that, on average, this system did not have a significant effect on any of these outcomes. However, it significantly improved the quality of creative work in stores that had accessed the system more frequently and in stores with fewer same-company nearby stores. It also improved creative work and job engagement in stores in divergent markets, where customers needed more customization. We found weak evidence of better financial results where salespeople had lower creative talent before the system was introduced. Our findings shed light on those conditions in which information sharing systems affect employees' creative work.","2018-05","2019-10-07 21:20:26","2019-10-28 20:29:07","","713-747","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200009","","C:\Users\zn18986\Zotero\storage\PL4WFUUB\Li and Sandino - 2018 - Effects of an Information Sharing System on Employ.pdf","","design; creativity; productivity; field experiments; impact; selection; authority; engagement; generation; geographically dispersed   organizations; idea; information sharing systems; integration; knowledge sharing; labor management; learning; organizations; retail chains; include; note","","li2018"
"JHJWYEW8","journalArticle","2018","Marsden, Emma; Morgan-Short, Kara; Thompson, Sophie; Abugaber, David","Replication in Second Language Research: Narrative and Systematic Reviews and Recommendations for the Field","Language Learning","","0023-8333","10.1111/lang.12286","","Despite its critical role for the development of the field, little is known about replication in second language (L2) research. To better understand replication practice, we first provide a narrative review of challenges related to replication, drawing on recent developments in psychology. This discussion frames and motivates a systematic review, building on syntheses of replication in psychology, education, and L2 research. We coded 67 self-labeled L2 replication studies found across 26 journals for 136 characteristics. We estimated a mean rate of 1 published replication study for every 400 articles, with a mean of 6.64 years between initial and replication studies and a mean of 117 citations of the initial study before a replication was published. Replication studies had an annual mean of 7.3 citations, much higher than averages in linguistics and education. Overlap in authorship between initial and replication studies and the availability of the initial materials both increased the likelihood of a replication supporting the initial findings. Our sample contained no direct (exact) replication attempts, and changes made to initial studies were numerous and wide ranging, which likely obscured, if not undermined, the interpretability of replication studies. To improve the amount and quality of L2 replication research, we propose 16 recommendations relating to rationale, nomenclature, design, infrastructure, and incentivization for collaboration and publication.","2018-06","2019-10-07 21:20:26","2019-10-28 20:29:07","","321-391","","2","68","","Lang. Learn.","","","","","","","","English","","","","","","","WOS:000434147700002","","C:\Users\zn18986\Zotero\storage\A55Z9TXC\Marsden et al. - 2018 - Replication in Second Language Research Narrative.pdf","","replication; publishing; methodology; registered reports; research design; systematic review; crisis; attention; comprehension; counterfactuals; grammar; implicit; language-acquisition; processing instruction; quantitative research; second language; include; note","","marsden2018"
"SWHJQVWV","journalArticle","2018","Marsden, Emma; Morgan-Short, Kara; Trofimovich, Pavel; Ellis, Nick C.","Introducing Registered Reports at Language Learning: Promoting Transparency, Replication, and a Synthetic Ethic in the Language Sciences","Language Learning","","0023-8333","10.1111/lang.12284","","The past few years have seen growing interest in open science practices, which include initiatives to increase transparency in research methods, data collection, and analysis; enhance accessibility to data and materials; and improve the dissemination of findings to broader audiences. Language Learning is enhancing its participation in the open science movement by launching Registered Reports as an article category as of January 1, 2018. Registered Reports allow authors to submit the conceptual justifications and the full method and analysis protocol of their study to peer review prior to data collection. High-quality submissions then receive provisional, in-principle acceptance. Provided that data collection, analyses, and reporting follow the proposed and accepted methodology and analysis protocols, the article is subsequently publishable whatever the findings. We outline key concerns leading to the development of Registered Reports, describe its core features, and discuss some of its benefits and weaknesses.","2018-06","2019-10-07 21:20:26","2019-11-03 12:41:49","","309-320","","2","68","","Lang. Learn.","","","","","","","","English","","","","","","","WOS:000434147700001","","C:\Users\zn18986\Zotero\storage\7QXSW8BW\Marsden et al. - 2018 - Introducing Registered Reports at Language Learnin.pdf","","replication; transparency; open science; publication bias; preregistration; peer review; registered report; funder_rr_partnerships; include_key_has_critique","","marsden2018a"
"QISFN53A","journalArticle","2018","McBee, Matthew T.; Makel, Matthew C.; Peters, Scott J.; Matthews, Michael S.","A Call for Open Science in Giftedness Research","Gifted Child Quarterly","","0016-9862","10.1177/0016986218784178","","Current practices in study design and data analysis have led to low reproducibility and replicability of findings in fields such as psychology, medicine, biology, and economics. Because gifted education research relies on the same underlying statistical and sociological paradigms, it is likely that it too suffers from these problems. This article discusses the origin of the poor replicability and introduces a set of open science practices that can increase the rigor and trustworthiness of gifted education's scientific findings: preregistration, open data and open materials, registered reports, and preprints. Readers are directed to Internet resources for facilitating open science. To model these practices, a pre peer-review preprint of this article is available at https://psyarxiv.com/nhuv3/.","2018-10","2019-10-07 21:20:26","2019-10-28 20:29:07","","374-388","","4","62","","Gifted Child Q.","","","","","","","","English","","","","","","","WOS:000444404500003","","C:\Users\zn18986\Zotero\storage\EUHETPXE\McBee et al. - 2018 - A Call for Open Science in Giftedness Research.pdf","","replication; reproducibility; replication crisis; publication bias; preregistration; p-hacking; HARKing; open materials; registered reports; open data; citations; registered report; questionable research practices (QRPs); file   drawer; open   science; psychological-science; include; note","","mcbee2018"
